TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
2020-02-01 23:59:54.172497,35.0,26.0,29.0,46.0,28.0,40.0,25.0,50.0,33.0,35.0,29.0,36.0,27.0,41.0,27.0,45.0,1,0,0,0
2020-02-02 00:00:03.005928,35.0,26.0,29.0,46.0,28.0,40.0,25.0,50.0,33.0,35.0,30.0,36.0,27.0,41.0,27.0,45.0,1,0,0,0
2020-02-02 00:00:09.314307,36.0,27.0,29.0,46.0,28.0,40.0,25.0,50.0,33.0,35.0,30.0,36.0,27.0,41.0,27.0,45.0,1,0,0,0
2020-02-02 00:00:15.629800,36.0,27.0,29.0,46.0,28.0,40.0,25.0,50.0,33.0,35.0,30.0,36.0,27.0,41.0,27.0,45.0,1,0,0,0
2020-02-02 00:00:21.947094,36.0,26.0,29.0,45.0,28.0,40.0,25.0,50.0,33.0,35.0,30.0,35.0,27.0,41.0,27.0,45.0,1,0,0,0
2020-02-02 00:00:33.308443,36.0,26.0,29.0,45.0,28.0,40.0,25.0,50.0,33.0,34.0,30.0,35.0,27.0,41.0,27.0,45.0,1,0,0,0
2020-02-02 00:00:44.706289,36.0,26.0,29.0,45.0,28.0,37.0,25.0,50.0,33.0,34.0,30.0,35.0,27.0,40.0,28.0,46.0,1,0,0,0
2020-02-02 00:00:58.604167,36.0,26.0,29.0,45.0,28.0,40.0,25.0,50.0,33.0,34.0,30.0,35.0,27.0,40.0,28.0,46.0,1,0,0,0
2020-02-02 00:01:07.478462,36.0,25.0,29.0,45.0,28.0,40.0,25.0,50.0,33.0,34.0,30.0,35.0,27.0,40.0,28.0,46.0,1,0,0,0
2020-02-02 00:01:21.384465,36.0,25.0,29.0,45.0,28.0,40.0,25.0,50.0,33.0,34.0,30.0,35.0,27.0,40.0,28.0,46.0,1,0,0,0
