TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
undefined,22.0,56.0,24.0,57.0,22.0,51.0,22.0,55.0,24.0,48.0,22.0,53.0,22.0,54.0,22.0,54.0,initial_value,initial_value,initial_value,initial_value
undefined,22.0,56.0,24.0,57.0,22.0,50.0,22.0,55.0,24.0,48.0,22.0,53.0,22.0,54.0,22.0,54.0,initial_value,initial_value,initial_value,initial_value
undefined,22.0,56.0,24.0,56.0,22.0,50.0,22.0,55.0,24.0,48.0,22.0,53.0,22.0,54.0,22.0,54.0,initial_value,initial_value,initial_value,initial_value
undefined,22.0,56.0,24.0,56.0,22.0,50.0,22.0,55.0,24.0,48.0,22.0,53.0,22.0,54.0,22.0,54.0,initial_value,initial_value,initial_value,initial_value
undefined,22.0,56.0,24.0,56.0,22.0,50.0,22.0,55.0,24.0,48.0,22.0,53.0,22.0,54.0,22.0,54.0,initial_value,initial_value,initial_value,initial_value
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
undefined,22.0,56.0,24.0,56.0,22.0,50.0,22.0,55.0,24.0,48.0,22.0,53.0,22.0,54.0,22.0,54.0,initial_value,initial_value,initial_value,initial_value
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
undefined,22.0,56.0,24.0,56.0,22.0,50.0,22.0,55.0,24.0,48.0,22.0,53.0,22.0,54.0,22.0,54.0,initial_value,initial_value,initial_value,initial_value
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
undefined,22.0,56.0,24.0,56.0,22.0,50.0,22.0,55.0,24.0,48.0,22.0,53.0,22.0,54.0,22.0,54.0,initial_value,initial_value,initial_value,initial_value
undefined,22.0,56.0,24.0,56.0,22.0,50.0,22.0,55.0,24.0,48.0,22.0,53.0,22.0,54.0,22.0,54.0,initial_value,initial_value,initial_value,initial_value
undefined,22.0,56.0,24.0,56.0,22.0,50.0,22.0,55.0,24.0,48.0,22.0,53.0,22.0,54.0,22.0,54.0,initial_value,initial_value,initial_value,initial_value
undefined,22.0,56.0,24.0,56.0,22.0,50.0,22.0,55.0,24.0,48.0,22.0,53.0,22.0,54.0,22.0,54.0,initial_value,initial_value,initial_value,initial_value
undefined,22.0,56.0,24.0,56.0,22.0,50.0,22.0,55.0,24.0,48.0,22.0,53.0,22.0,54.0,22.0,53.0,initial_value,initial_value,initial_value,initial_value
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
undefined,22.0,56.0,24.0,56.0,22.0,50.0,22.0,55.0,24.0,48.0,22.0,53.0,22.0,54.0,22.0,53.0,initial_value,initial_value,initial_value,initial_value
undefined,22.0,56.0,24.0,56.0,22.0,50.0,22.0,55.0,24.0,48.0,22.0,53.0,22.0,54.0,22.0,54.0,initial_value,initial_value,initial_value,initial_value
