TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
 2020-02-01 20:00:33.266386,22.0,61.0,24.0,56.0,22.0,53.0,22.0,55.0,24.0,47.0,22.0,57.0,22.0,54.0,22.0,53.0,0,0,0,0
 2020-02-01 20:00:49.724026,22.0,61.0,23.0,60.0,22.0,53.0,22.0,58.0,24.0,50.0,22.0,57.0,21.0,58.0,22.0,56.0,0,0,0,0
 2020-02-01 20:01:03.655071,22.0,61.0,23.0,60.0,22.0,50.0,22.0,58.0,24.0,50.0,22.0,57.0,21.0,57.0,22.0,56.0,0,0,0,0
 2020-02-01 20:01:15.030267,22.0,61.0,23.0,60.0,22.0,53.0,22.0,57.0,24.0,50.0,22.0,56.0,22.0,58.0,22.0,56.0,0,0,0,0
 2020-02-01 20:01:28.961331,22.0,61.0,23.0,60.0,22.0,50.0,22.0,58.0,24.0,50.0,22.0,57.0,22.0,58.0,22.0,56.0,0,0,0,0
 2020-02-01 20:01:35.269259,22.0,61.0,23.0,60.0,22.0,53.0,22.0,57.0,24.0,50.0,22.0,57.0,21.0,57.0,22.0,56.0,0,0,0,0
 2020-02-01 20:01:49.180383,22.0,61.0,23.0,59.0,22.0,53.0,22.0,57.0,24.0,50.0,22.0,56.0,22.0,58.0,22.0,56.0,0,0,0,0
 2020-02-01 20:01:58.034050,22.0,61.0,23.0,60.0,22.0,52.0,22.0,57.0,24.0,50.0,22.0,56.0,21.0,57.0,22.0,56.0,0,0,0,0
 2020-02-01 20:02:04.362614,22.0,61.0,23.0,59.0,22.0,53.0,22.0,57.0,24.0,50.0,22.0,56.0,21.0,57.0,22.0,56.0,0,0,0,0
 2020-02-01 20:02:13.233532,22.0,61.0,23.0,60.0,22.0,50.0,22.0,57.0,24.0,49.0,22.0,56.0,22.0,58.0,22.0,56.0,0,0,0,0
 2020-02-01 20:02:19.542610,22.0,61.0,23.0,60.0,22.0,52.0,22.0,57.0,24.0,49.0,22.0,56.0,22.0,58.0,22.0,56.0,0,0,0,0
