2020-02-04 16:06:17.395864,23.0,50.0,25.0,48.0,24.0,44.0,24.0,48.0,27.0,39.0,24.0,42.0,24.0,45.0,24.0,47.0,0,0,0,0
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
2020-02-04 16:08:41.843130,23.0,50.0,25.0,48.0,24.0,44.0,24.0,48.0,27.0,39.0,24.0,42.0,24.0,45.0,24.0,47.0,0,0,0,0
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
2020-02-04 16:09:17.613489,23.0,50.0,25.0,48.0,24.0,44.0,24.0,48.0,27.0,39.0,24.0,42.0,24.0,46.0,24.0,47.0,0,0,0,0
2020-02-04 16:09:28.993992,23.0,50.0,25.0,48.0,24.0,41.0,24.0,48.0,27.0,39.0,24.0,42.0,24.0,46.0,24.0,47.0,0,0,0,0
2020-02-04 16:09:37.978400,23.0,50.0,25.0,48.0,24.0,44.0,24.0,48.0,27.0,39.0,24.0,42.0,24.0,46.0,24.0,47.0,0,0,0,0
2020-02-04 16:09:44.268439,23.0,50.0,25.0,48.0,24.0,44.0,24.0,48.0,27.0,39.0,24.0,42.0,24.0,46.0,24.0,47.0,0,0,0,0
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
2020-02-04 16:10:31.310461,23.0,50.0,25.0,48.0,24.0,44.0,24.0,48.0,27.0,39.0,24.0,42.0,24.0,46.0,24.0,47.0,0,0,0,0
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
2020-02-04 16:14:01.599144,23.0,51.0,25.0,48.0,24.0,44.0,23.0,48.0,27.0,39.0,24.0,42.0,23.0,46.0,24.0,47.0,0,0,0,0
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
2020-02-04 16:15:55.941235,23.0,51.0,25.0,49.0,24.0,41.0,23.0,49.0,26.0,40.0,24.0,43.0,23.0,47.0,24.0,48.0,0,0,0,0
2020-02-04 16:16:07.305305,23.0,51.0,25.0,50.0,24.0,45.0,23.0,49.0,26.0,40.0,24.0,44.0,23.0,47.0,24.0,48.0,0,0,0,0
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
2020-02-04 16:18:17.151420,23.0,51.0,25.0,50.0,24.0,44.0,23.0,49.0,26.0,40.0,24.0,43.0,23.0,47.0,24.0,48.0,0,0,0,0
2020-02-04 16:18:26.005270,23.0,51.0,25.0,49.0,24.0,45.0,23.0,49.0,26.0,40.0,24.0,44.0,23.0,47.0,24.0,48.0,0,0,0,0
2020-02-04 16:18:32.307834,23.0,51.0,25.0,49.0,24.0,44.0,23.0,49.0,26.0,40.0,24.0,43.0,23.0,47.0,24.0,48.0,0,0,0,0
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
2020-02-04 16:24:55.451685,23.0,51.0,25.0,49.0,24.0,44.0,23.0,49.0,26.0,40.0,24.0,43.0,23.0,47.0,24.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:25:01.765370,22.0,52.0,25.0,49.0,24.0,45.0,23.0,49.0,26.0,40.0,24.0,44.0,23.0,47.0,23.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:25:13.116511,23.0,52.0,25.0,49.0,24.0,44.0,23.0,49.0,26.0,40.0,24.0,44.0,23.0,46.0,23.0,47.0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-02-04 16:25:24.464882,23.0,52.0,25.0,49.0,24.0,44.0,23.0,49.0,26.0,40.0,24.0,43.0,23.0,46.0,23.0,47.0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-02-04 16:25:30.780132,23.0,52.0,25.0,49.0,24.0,44.0,23.0,49.0,26.0,40.0,24.0,43.0,23.0,46.0,23.0,47.0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-02-04 16:25:39.615374,23.0,52.0,25.0,49.0,24.0,44.0,23.0,49.0,26.0,40.0,24.0,44.0,23.0,47.0,23.0,47.0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2020-02-04 16:25:53.493691,23.0,52.0,25.0,49.0,24.0,44.0,23.0,49.0,26.0,40.0,24.0,44.0,23.0,47.0,24.0,47.0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2020-02-04 16:26:07.365217,23.0,52.0,25.0,50.0,24.0,44.0,23.0,49.0,26.0,40.0,24.0,44.0,23.0,47.0,23.0,47.0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2020-02-04 16:26:13.663682,23.0,52.0,25.0,50.0,24.0,44.0,23.0,49.0,26.0,40.0,24.0,44.0,23.0,47.0,23.0,47.0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2020-02-04 16:26:22.477768,23.0,52.0,25.0,50.0,24.0,44.0,23.0,49.0,26.0,40.0,24.0,44.0,23.0,47.0,23.0,47.0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14H
2020-02-04 16:34:11.533392,23.0,52.0,25.0,49.0,24.0,44.0,23.0,49.0,26.0,41.0,23.0,46.0,23.0,47.0,23.0,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:34:20.384393,22.0,52.0,25.0,51.0,23.0,46.0,23.0,51.0,26.0,43.0,23.0,45.0,23.0,49.0,23.0,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:34:29.207939,22.0,52.0,25.0,51.0,23.0,46.0,23.0,50.0,26.0,43.0,23.0,46.0,23.0,49.0,23.0,49.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020-02-04 16:34:43.079679,22.0,52.0,25.0,51.0,23.0,46.0,23.0,50.0,26.0,42.0,23.0,46.0,23.0,49.0,23.0,49.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020-02-04 16:34:51.905786,22.0,52.0,25.0,51.0,23.0,45.0,23.0,50.0,26.0,42.0,23.0,46.0,23.0,49.0,23.0,49.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020-02-04 16:34:58.204017,22.0,52.0,25.0,51.0,23.0,45.0,23.0,50.0,26.0,42.0,23.0,46.0,23.0,49.0,23.0,49.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020-02-04 16:35:09.553762,22.0,52.0,25.0,51.0,23.0,43.0,23.0,50.0,26.0,42.0,23.0,45.0,23.0,49.0,23.0,49.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020-02-04 16:35:20.915673,22.0,52.0,25.0,51.0,23.0,45.0,23.0,50.0,26.0,42.0,23.0,45.0,23.0,49.0,23.0,49.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
2020-02-04 16:35:32.277154,22.0,52.0,25.0,51.0,23.0,45.0,23.0,50.0,26.0,42.0,23.0,45.0,23.0,49.0,23.0,49.0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1
2020-02-04 16:35:43.625913,22.0,52.0,25.0,51.0,23.0,45.0,23.0,50.0,26.0,42.0,24.0,45.0,23.0,49.0,23.0,49.0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1
2020-02-04 16:35:57.501605,22.0,52.0,25.0,51.0,23.0,45.0,23.0,50.0,26.0,42.0,24.0,45.0,23.0,49.0,23.0,49.0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1
