TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15
2020-02-11 18:26:14.548465,23.0,53.0,24.0,56.0,23.0,51.0,23.0,56.0,25.0,48.0,23.0,53.0,22.0,54.0,23.0,54.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-02-11 18:26:23.291338,23.0,53.0,24.0,56.0,23.0,51.0,23.0,56.0,25.0,48.0,23.0,53.0,23.0,54.0,23.0,54.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15
2020-02-11 18:31:07.388831,23.0,54.0,24.0,56.0,23.0,51.0,23.0,56.0,25.0,48.0,23.0,53.0,23.0,54.0,23.0,54.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15
2020-02-11 18:33:34.576518,23.0,53.0,24.0,56.0,23.0,48.0,23.0,56.0,25.0,48.0,23.0,53.0,22.0,54.0,23.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15
2020-02-11 18:33:58.484744,23.0,54.0,24.0,56.0,23.0,51.0,22.0,56.0,25.0,48.0,23.0,53.0,22.0,54.0,23.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15
2020-02-11 18:34:19.453012,23.0,54.0,24.0,56.0,23.0,51.0,23.0,56.0,25.0,48.0,23.0,53.0,22.0,54.0,23.0,54.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2020-02-11 18:34:33.385460,23.0,54.0,24.0,56.0,23.0,51.0,23.0,56.0,25.0,48.0,23.0,53.0,23.0,54.0,23.0,54.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2020-02-11 18:34:47.259394,23.0,54.0,24.0,56.0,23.0,51.0,23.0,56.0,25.0,48.0,23.0,52.0,22.0,54.0,23.0,54.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2020-02-11 18:34:53.569610,22.0,54.0,24.0,56.0,23.0,51.0,23.0,56.0,25.0,48.0,23.0,53.0,22.0,54.0,23.0,54.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2020-02-11 18:35:02.418813,22.0,54.0,24.0,55.0,23.0,51.0,23.0,56.0,25.0,48.0,23.0,53.0,22.0,54.0,23.0,54.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2020-02-11 18:35:11.303403,22.0,54.0,24.0,55.0,23.0,51.0,23.0,55.0,25.0,48.0,23.0,53.0,22.0,53.0,23.0,54.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2020-02-11 18:35:22.669328,22.0,54.0,24.0,55.0,23.0,48.0,23.0,55.0,25.0,48.0,23.0,53.0,23.0,54.0,23.0,54.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2020-02-11 18:35:31.494015,22.0,55.0,24.0,55.0,23.0,51.0,23.0,55.0,25.0,48.0,23.0,53.0,22.0,54.0,23.0,54.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2020-02-11 18:35:40.308061,22.0,55.0,24.0,55.0,23.0,50.0,23.0,55.0,25.0,48.0,23.0,52.0,23.0,54.0,23.0,54.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2020-02-11 18:35:46.627658,22.0,55.0,24.0,55.0,23.0,51.0,23.0,55.0,25.0,48.0,23.0,52.0,22.0,54.0,23.0,54.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15
2020-02-11 18:35:52.931220,22.0,55.0,24.0,55.0,23.0,50.0,23.0,55.0,25.0,48.0,23.0,52.0,23.0,53.0,23.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15
2020-02-11 18:37:13.593759,22.0,55.0,24.0,55.0,23.0,51.0,23.0,55.0,25.0,48.0,23.0,52.0,22.0,54.0,23.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11 18:37:24.955257,22.0,55.0,24.0,56.0,23.0,51.0,23.0,56.0,25.0,48.0,23.0,53.0,22.0,54.0,23.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
