TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14H
2020-02-04 16:42:01.584380,29.0,37.0,27.0,45.0,26.0,40.0,24.0,47.0,30.0,36.0,27.0,38.0,25.0,42.0,25.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:42:10.405031,29.0,37.0,27.0,45.0,26.0,40.0,24.0,48.0,30.0,35.0,27.0,38.0,25.0,42.0,25.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:42:16.714996,29.0,36.0,27.0,44.0,26.0,40.0,24.0,47.0,30.0,35.0,27.0,37.0,25.0,41.0,26.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:42:25.541950,30.0,36.0,27.0,44.0,26.0,40.0,24.0,47.0,30.0,35.0,27.0,37.0,25.0,41.0,26.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:42:34.423406,30.0,35.0,27.0,44.0,26.0,40.0,24.0,47.0,30.0,35.0,27.0,37.0,25.0,41.0,26.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:42:43.256164,30.0,34.0,28.0,45.0,26.0,39.0,24.0,47.0,30.0,35.0,27.0,37.0,25.0,41.0,26.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:42:52.092200,30.0,34.0,28.0,45.0,26.0,39.0,24.0,47.0,30.0,34.0,27.0,36.0,25.0,41.0,26.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:43:00.927268,31.0,34.0,28.0,45.0,26.0,39.0,24.0,47.0,30.0,34.0,27.0,36.0,25.0,41.0,26.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:43:12.285573,31.0,33.0,28.0,45.0,27.0,39.0,24.0,47.0,30.0,34.0,27.0,36.0,26.0,41.0,26.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:43:21.111097,31.0,33.0,28.0,44.0,27.0,39.0,24.0,47.0,31.0,35.0,27.0,36.0,26.0,41.0,26.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
