TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15
2020-02-06 01:07:36.229011,25.0,45.0,31.0,41.0,27.0,39.0,25.0,48.0,34.0,33.0,29.0,36.0,27.0,39.0,27.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 01:07:42.687517,22.0,68.0,24.0,54.0,22.0,50.0,22.0,56.0,25.0,44.0,22.0,55.0,22.0,58.0,22.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 01:07:56.577936,22.0,67.0,24.0,54.0,22.0,49.0,22.0,56.0,25.0,44.0,22.0,55.0,22.0,57.0,22.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 01:08:05.427680,22.0,67.0,24.0,54.0,22.0,49.0,22.0,56.0,25.0,44.0,22.0,55.0,22.0,57.0,22.0,52.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1
2020-02-06 01:08:11.757401,22.0,67.0,24.0,54.0,22.0,49.0,22.0,56.0,25.0,44.0,23.0,55.0,22.0,57.0,22.0,52.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1
2020-02-06 01:08:23.394229,22.0,67.0,24.0,54.0,23.0,49.0,22.0,56.0,25.0,44.0,23.0,55.0,22.0,57.0,23.0,52.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1
2020-02-06 01:08:29.705537,23.0,65.0,24.0,54.0,23.0,49.0,22.0,55.0,25.0,43.0,23.0,54.0,22.0,56.0,23.0,51.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1
2020-02-06 01:08:36.113695,23.0,64.0,24.0,54.0,23.0,50.0,22.0,55.0,25.0,43.0,23.0,54.0,22.0,56.0,23.0,51.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1
2020-02-06 01:08:42.429158,23.0,63.0,25.0,53.0,23.0,49.0,22.0,55.0,26.0,44.0,23.0,54.0,23.0,56.0,23.0,51.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1
2020-02-06 01:08:51.277018,23.0,62.0,25.0,53.0,23.0,50.0,23.0,56.0,26.0,43.0,23.0,52.0,23.0,55.0,23.0,51.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1
2020-02-06 01:09:05.189945,24.0,61.0,25.0,53.0,23.0,50.0,23.0,56.0,26.0,43.0,23.0,52.0,23.0,55.0,23.0,51.0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0
2020-02-06 01:09:11.494868,24.0,59.0,25.0,52.0,23.0,50.0,23.0,57.0,26.0,42.0,24.0,51.0,23.0,55.0,23.0,50.0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0
2020-02-06 01:09:17.794030,24.0,58.0,25.0,52.0,24.0,50.0,23.0,58.0,26.0,42.0,24.0,51.0,23.0,55.0,23.0,50.0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0
2020-02-06 01:09:31.695051,24.0,58.0,25.0,53.0,23.0,50.0,23.0,58.0,26.0,42.0,24.0,53.0,23.0,55.0,23.0,50.0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0
2020-02-06 01:09:40.529197,23.0,60.0,25.0,54.0,23.0,50.0,23.0,58.0,26.0,42.0,23.0,53.0,23.0,56.0,23.0,50.0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0
2020-02-06 01:09:56.946514,23.0,61.0,25.0,54.0,23.0,50.0,23.0,58.0,26.0,42.0,23.0,54.0,23.0,55.0,23.0,50.0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0
2020-02-06 01:10:05.782813,23.0,63.0,25.0,55.0,23.0,50.0,23.0,58.0,26.0,42.0,23.0,54.0,23.0,56.0,23.0,50.0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1
2020-02-06 01:10:12.093702,22.0,64.0,25.0,55.0,23.0,51.0,23.0,58.0,26.0,42.0,24.0,54.0,23.0,56.0,23.0,50.0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1
2020-02-06 01:10:26.274309,23.0,64.0,25.0,56.0,23.0,51.0,22.0,58.0,26.0,42.0,24.0,54.0,23.0,56.0,23.0,50.0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1
2020-02-06 01:10:32.581593,23.0,64.0,25.0,56.0,24.0,50.0,23.0,57.0,27.0,44.0,24.0,54.0,23.0,55.0,23.0,50.0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1
2020-02-06 01:10:43.953662,23.0,63.0,25.0,56.0,24.0,50.0,23.0,57.0,27.0,44.0,24.0,54.0,23.0,55.0,24.0,51.0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1
2020-02-06 01:10:52.805255,23.0,63.0,25.0,56.0,24.0,49.0,23.0,56.0,27.0,44.0,24.0,53.0,23.0,55.0,24.0,51.0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1
2020-02-06 01:10:59.113639,23.0,62.0,26.0,57.0,24.0,49.0,23.0,56.0,27.0,45.0,24.0,53.0,23.0,54.0,24.0,50.0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0
2020-02-06 01:11:10.500666,23.0,62.0,26.0,57.0,24.0,48.0,23.0,56.0,27.0,45.0,24.0,53.0,24.0,54.0,24.0,50.0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0
2020-02-06 01:11:21.876164,23.0,62.0,26.0,56.0,24.0,48.0,23.0,56.0,28.0,45.0,24.0,52.0,24.0,55.0,24.0,50.0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0
2020-02-06 01:11:30.713703,24.0,61.0,26.0,56.0,24.0,48.0,23.0,57.0,28.0,44.0,25.0,51.0,24.0,55.0,24.0,49.0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0
2020-02-06 01:11:43.606039,24.0,60.0,26.0,55.0,25.0,48.0,23.0,57.0,28.0,43.0,25.0,51.0,24.0,54.0,24.0,49.0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0
2020-02-06 01:11:52.455407,25.0,58.0,26.0,54.0,25.0,48.0,23.0,57.0,28.0,43.0,25.0,51.0,24.0,54.0,24.0,49.0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0
2020-02-06 01:11:58.759022,25.0,56.0,26.0,54.0,25.0,48.0,23.0,57.0,28.0,42.0,25.0,50.0,24.0,54.0,24.0,49.0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0
2020-02-06 01:12:05.073769,25.0,55.0,27.0,54.0,25.0,48.0,23.0,57.0,28.0,42.0,25.0,50.0,24.0,54.0,24.0,48.0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0
2020-02-06 01:12:11.382628,26.0,55.0,27.0,54.0,25.0,47.0,23.0,57.0,29.0,42.0,25.0,50.0,24.0,54.0,24.0,48.0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0
2020-02-06 01:12:20.238532,26.0,54.0,27.0,54.0,25.0,47.0,23.0,57.0,29.0,42.0,25.0,50.0,24.0,53.0,25.0,48.0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0
2020-02-06 01:12:26.545665,26.0,53.0,27.0,53.0,25.0,47.0,23.0,56.0,29.0,43.0,25.0,49.0,24.0,53.0,25.0,48.0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0
2020-02-06 01:12:32.857075,27.0,52.0,27.0,53.0,25.0,47.0,23.0,56.0,29.0,42.0,25.0,49.0,24.0,52.0,25.0,48.0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0
2020-02-06 01:12:39.165493,27.0,50.0,27.0,52.0,25.0,46.0,23.0,56.0,29.0,42.0,26.0,49.0,24.0,52.0,25.0,47.0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0
2020-02-06 01:12:50.539216,27.0,50.0,27.0,52.0,25.0,46.0,23.0,55.0,29.0,41.0,26.0,49.0,24.0,52.0,25.0,47.0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0
2020-02-06 01:13:06.974731,28.0,50.0,27.0,52.0,25.0,45.0,23.0,55.0,29.0,41.0,26.0,48.0,24.0,52.0,25.0,47.0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
2020-02-06 01:13:13.302411,28.0,48.0,27.0,51.0,25.0,45.0,23.0,55.0,29.0,40.0,26.0,48.0,25.0,51.0,25.0,47.0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
2020-02-06 01:13:27.190391,28.0,47.0,27.0,51.0,25.0,45.0,23.0,56.0,29.0,40.0,26.0,48.0,24.0,51.0,25.0,48.0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
2020-02-06 01:13:33.524785,28.0,47.0,27.0,51.0,25.0,46.0,23.0,56.0,29.0,40.0,26.0,49.0,24.0,51.0,25.0,48.0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
2020-02-06 01:13:39.858422,28.0,47.0,27.0,51.0,25.0,46.0,23.0,56.0,29.0,41.0,26.0,49.0,24.0,51.0,25.0,48.0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
2020-02-06 01:13:46.173730,28.0,47.0,27.0,52.0,25.0,46.0,23.0,56.0,29.0,41.0,26.0,49.0,24.0,51.0,25.0,49.0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
2020-02-06 01:13:57.550651,28.0,47.0,27.0,52.0,25.0,47.0,23.0,57.0,29.0,41.0,26.0,49.0,24.0,52.0,25.0,49.0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1
2020-02-06 01:14:13.985837,28.0,47.0,27.0,52.0,25.0,47.0,23.0,57.0,29.0,41.0,26.0,49.0,24.0,52.0,25.0,49.0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1
2020-02-06 01:14:25.369979,28.0,48.0,27.0,52.0,25.0,47.0,23.0,57.0,29.0,42.0,26.0,49.0,24.0,52.0,25.0,49.0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1
2020-02-06 01:14:34.200955,28.0,47.0,27.0,53.0,25.0,47.0,23.0,57.0,29.0,42.0,26.0,48.0,24.0,52.0,25.0,48.0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1
2020-02-06 01:14:40.511481,28.0,47.0,27.0,53.0,25.0,46.0,23.0,56.0,29.0,42.0,26.0,48.0,24.0,52.0,25.0,48.0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1
2020-02-06 01:14:49.360065,29.0,47.0,27.0,53.0,25.0,46.0,23.0,56.0,29.0,42.0,26.0,48.0,24.0,52.0,25.0,48.0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1
2020-02-06 01:14:55.667845,29.0,46.0,27.0,52.0,25.0,46.0,23.0,56.0,29.0,42.0,26.0,48.0,25.0,52.0,25.0,48.0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1
2020-02-06 01:15:02.007641,29.0,46.0,27.0,52.0,25.0,46.0,23.0,55.0,30.0,42.0,26.0,47.0,25.0,51.0,25.0,48.0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1
2020-02-06 01:15:08.317531,29.0,45.0,27.0,52.0,26.0,47.0,23.0,55.0,30.0,41.0,26.0,47.0,25.0,51.0,25.0,48.0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0
2020-02-06 01:15:17.160642,29.0,45.0,27.0,52.0,26.0,47.0,23.0,55.0,30.0,41.0,26.0,47.0,25.0,51.0,25.0,48.0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0
2020-02-06 01:15:23.461801,29.0,45.0,27.0,52.0,26.0,47.0,23.0,56.0,30.0,40.0,26.0,47.0,25.0,50.0,25.0,47.0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0
2020-02-06 01:15:37.348862,28.0,45.0,28.0,53.0,26.0,47.0,23.0,57.0,30.0,40.0,26.0,47.0,25.0,50.0,25.0,48.0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0
2020-02-06 01:15:48.710450,27.0,47.0,27.0,52.0,26.0,47.0,24.0,57.0,30.0,40.0,27.0,46.0,25.0,50.0,25.0,48.0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0
2020-02-06 01:15:55.030304,26.0,50.0,28.0,53.0,26.0,46.0,24.0,56.0,30.0,40.0,27.0,46.0,25.0,50.0,26.0,49.0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0
2020-02-06 01:16:03.869162,26.0,51.0,28.0,53.0,26.0,46.0,24.0,56.0,30.0,40.0,27.0,46.0,25.0,50.0,26.0,49.0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1
2020-02-06 01:16:15.238268,25.0,52.0,28.0,53.0,26.0,46.0,24.0,57.0,30.0,40.0,27.0,46.0,25.0,50.0,26.0,49.0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1
2020-02-06 01:16:21.558630,25.0,53.0,28.0,53.0,26.0,46.0,24.0,57.0,31.0,40.0,27.0,45.0,25.0,50.0,26.0,49.0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1
