TIME,OUT_T[*K],OUT_H[%],T6[*K],H6[%],T12[*K],H12[%],T18[*K],H18[%],T19[*K],H19[%],T24[*K],H24[%],T25[*K],H25[%],T26[*K],H26[%],,,,
44:38.9,24,39,25,49,24,48,24,49,25,43,24,42,23,47,24,50,,,,
45:07.9,23,40,25,49,24,48,24,52,25,43,24,42,23,47,24,49,,,,
45:42.0,23,40,25,50,24,48,24,52,25,43,24,42,23,47,24,49,,,,
46:19.0,23,40,24,49,24,48,24,53,25,44,24,42,23,48,24,50,,,,
46:53.2,23,41,24,51,24,48,24,53,25,44,24,42,23,48,24,50,,,,
47:26.8,23,41,24,51,24,48,24,53,25,44,24,42,23,48,24,50,,,,
48:01.2,23,41,24,51,24,48,24,53,25,44,24,42,23,48,24,50,,,,
48:39.0,23,42,24,51,24,48,24,53,25,44,24,42,23,48,24,50,,,,
49:12.8,23,42,24,51,24,48,24,49,25,44,24,42,23,48,23,51,,,,
49:49.9,23,42,24,52,24,49,24,49,25,44,23,43,23,48,23,51,,,,
50:24.6,23,43,24,52,24,49,23,53,25,44,23,42,23,48,23,51,,,,
51:09.4,23,43,24,52,24,49,23,53,24,45,23,43,23,49,23,51,,,,
51:49.2,22,43,24,52,24,46,23,53,25,45,23,43,23,48,23,52,,,,
52:18.4,22,43,24,52,24,49,23,49,24,45,23,43,22,49,23,52,,,,
52:54.8,22,43,24,52,23,49,23,53,24,45,23,43,22,49,23,52,,,,
53:26.9,22,44,24,52,23,46,23,53,24,45,23,44,22,48,23,52,,,,
54:09.4,22,44,24,52,23,49,23,50,24,45,23,44,22,48,23,52,,,,
54:41.0,22,44,24,52,23,46,23,53,24,45,23,44,22,49,23,52,,,,
55:17.4,22,44,24,52,23,46,23,53,24,45,23,44,22,49,23,52,,,,
55:52.0,22,44,24,52,23,49,23,50,24,45,23,44,22,49,23,52,,,,
56:37.9,22,45,24,52,23,46,23,50,24,45,23,44,22,49,23,52,,,,
57:07.2,22,45,23,52,23,49,23,54,24,45,23,44,22,49,23,52,,,,
57:39.4,22,45,23,52,23,49,23,53,24,45,23,44,22,49,23,52,,,,
58:12.2,22,45,23,52,23,49,23,54,24,45,23,44,22,49,23,52,,,,
58:46.9,22,45,24,52,23,49,23,54,24,45,23,44,22,48,23,52,,,,
59:24.2,22,44,24,52,23,46,23,53,25,45,23,44,23,47,23,52,,,,
00:03.0,23,43,24,51,23,48,23,49,25,44,23,42,23,47,23,52,,,,
00:36.7,23,41,24,51,24,47,24,51,25,43,23,42,23,47,23,51,,,,
01:16.0,24,39,24,51,24,47,24,47,25,43,24,41,23,46,23,50,,,,
01:52.9,24,38,24,50,24,46,24,50,26,43,24,40,24,46,24,50,,,,
02:24.2,25,37,25,50,25,45,24,49,26,43,24,40,24,45,24,49,,,,
02:56.8,25,35,25,49,25,42,24,45,26,42,24,39,24,44,24,49,,,,
03:33.0,26,35,25,49,25,45,25,49,26,42,25,39,24,44,24,48,,,,
04:12.9,26,34,25,48,25,44,25,48,26,42,25,38,24,44,24,48,,,,
04:49.1,27,33,26,49,25,44,25,48,26,42,25,38,24,43,24,48,,,,
05:17.3,27,32,25,48,26,44,25,48,26,41,25,38,24,43,25,47,,,,
05:52.1,27,32,26,48,26,44,25,44,27,41,25,37,24,43,25,47,,,,
06:25.3,28,31,26,48,26,41,25,47,27,41,25,37,24,43,25,47,,,,
07:05.1,28,31,26,48,26,44,26,44,27,41,26,37,25,42,25,47,,,,
07:57.1,28,31,26,48,26,44,26,44,27,41,26,37,25,42,25,47,,,,
08:31.5,28,29,26,48,26,43,26,48,27,41,26,37,25,42,25,47,,,,
09:04.3,29,32,26,47,26,40,26,48,27,40,26,36,25,42,25,46,,,,
09:40.0,29,31,26,47,26,43,26,47,27,40,26,36,25,42,25,46,,,,
10:14.3,29,31,26,47,26,43,26,47,27,40,26,36,25,41,25,46,,,,
10:43.9,29,31,27,47,27,43,26,47,28,41,26,36,25,41,26,47,,,,
11:22.9,29,30,27,47,26,40,26,47,28,41,26,36,25,41,26,47,,,,
11:55.9,29,30,27,47,27,40,26,47,28,41,26,35,25,41,26,47,,,,
12:32.4,30,29,27,47,27,40,26,47,28,40,27,35,26,42,26,47,,,,
13:05.5,30,29,27,47,27,43,26,47,28,41,27,35,26,42,26,47,,,,
13:48.6,30,28,27,47,27,42,26,47,28,40,27,35,26,41,26,46,,,,
14:30.3,30,28,27,47,27,39,27,47,28,38,27,34,26,41,26,44,,,,
15:07.5,30,28,27,46,27,42,27,47,28,38,27,34,26,41,26,44,,,,
15:41.6,30,28,27,46,27,42,27,47,28,39,27,34,26,41,26,45,,,,
16:14.6,30,28,27,46,27,42,27,47,28,39,27,34,26,41,26,44,,,,
16:47.7,30,28,27,45,27,42,27,46,28,38,27,34,26,41,26,44,,,,
17:21.3,29,28,27,46,27,42,27,46,28,39,27,33,26,41,26,44,,,,
17:53.3,29,29,27,46,27,42,27,46,28,38,27,33,26,41,26,44,,,,
18:33.0,29,29,27,44,28,43,27,46,28,38,27,33,26,41,27,44,,,,
19:12.1,29,29,27,45,28,40,27,46,28,37,27,33,26,41,27,44,,,,
19:46.8,29,29,28,46,28,42,27,46,28,38,27,33,26,40,27,43,,,,
20:23.9,29,30,28,46,27,41,27,46,28,38,27,33,26,40,27,44,,,,
20:52.9,29,29,28,46,27,41,27,46,28,37,27,33,26,40,27,44,,,,
21:27.5,29,30,27,45,28,42,27,46,28,37,27,33,26,40,27,43,,,,
21:56.5,29,30,27,42,28,42,27,46,29,39,27,33,26,40,27,43,,,,
22:32.1,29,30,28,44,28,42,27,46,29,39,27,32,26,40,27,43,,,,
23:05.1,29,30,28,45,28,39,27,46,29,38,27,32,26,40,27,43,,,,
